Axis1,Axis2,Axis3,datetime,hand,hand_dominance,type,hand_type,session,hand_label,id
54,42,1,2017-10-23 17:43:18,R,L,ucp,ndom,dom,ndom,UCP0
129,140,140,2017-10-23 17:43:18,L,L,ucp,dom,dom,dom,UCP0
56,31,4,2017-10-23 17:43:19,R,L,ucp,ndom,dom,ndom,UCP0
121,127,99,2017-10-23 17:43:19,L,L,ucp,dom,dom,dom,UCP0
23,8,4,2017-10-23 17:43:20,R,L,ucp,ndom,dom,ndom,UCP0
86,127,109,2017-10-23 17:43:20,L,L,ucp,dom,dom,dom,UCP0
123,230,147,2017-10-23 17:43:21,L,L,ucp,dom,dom,dom,UCP0
21,8,0,2017-10-23 17:43:21,R,L,ucp,ndom,dom,ndom,UCP0
111,204,171,2017-10-23 17:43:22,L,L,ucp,dom,dom,dom,UCP0
22,17,0,2017-10-23 17:43:22,R,L,ucp,ndom,dom,ndom,UCP0
42,9,0,2017-10-23 17:43:23,R,L,ucp,ndom,dom,ndom,UCP0
66,178,84,2017-10-23 17:43:23,L,L,ucp,dom,dom,dom,UCP0
19,21,0,2017-10-23 17:43:24,R,L,ucp,ndom,dom,ndom,UCP0
62,103,106,2017-10-23 17:43:24,L,L,ucp,dom,dom,dom,UCP0
64,177,110,2017-10-23 17:43:25,L,L,ucp,dom,dom,dom,UCP0
8,10,0,2017-10-23 17:43:25,R,L,ucp,ndom,dom,ndom,UCP0
81,153,97,2017-10-23 17:43:26,L,L,ucp,dom,dom,dom,UCP0
30,11,0,2017-10-23 17:43:26,R,L,ucp,ndom,dom,ndom,UCP0
86,136,124,2017-10-23 17:43:27,L,L,ucp,dom,dom,dom,UCP0
17,10,0,2017-10-23 17:43:27,R,L,ucp,ndom,dom,ndom,UCP0
69,64,120,2017-10-23 17:43:28,L,L,ucp,dom,dom,dom,UCP0
10,0,1,2017-10-23 17:43:28,R,L,ucp,ndom,dom,ndom,UCP0
11,4,0,2017-10-23 17:43:29,R,L,ucp,ndom,dom,ndom,UCP0
108,120,107,2017-10-23 17:43:29,L,L,ucp,dom,dom,dom,UCP0
19,19,3,2017-10-23 17:43:30,R,L,ucp,ndom,dom,ndom,UCP0
66,167,85,2017-10-23 17:43:30,L,L,ucp,dom,dom,dom,UCP0
7,0,0,2017-10-23 17:43:31,R,L,ucp,ndom,dom,ndom,UCP0
63,105,95,2017-10-23 17:43:31,L,L,ucp,dom,dom,dom,UCP0
